ensayo,condicion,clase_esperada,mano_detectada,clase_predicha,confianza,comando_emitido
4,normal,3,1,3,99.02541041374207,-1
4,normal,3,1,3,98.51164221763611,-1
4,normal,3,1,3,99.23533797264099,-1
4,normal,3,1,3,98.8257348537445,-1
4,normal,3,1,3,99.24061894416809,-1
4,normal,3,1,3,98.75537157058716,-1
4,normal,3,1,3,99.07913208007812,-1
4,normal,3,1,3,99.11720156669617,-1
4,normal,3,1,3,98.86733889579773,-1
4,normal,3,1,3,98.74540567398071,-1
4,normal,3,1,3,99.33224320411682,-1
4,normal,3,1,3,98.68196249008179,-1
4,normal,3,1,3,98.95601272583008,-1
4,normal,3,1,3,98.97332787513733,-1
4,normal,3,1,3,98.75316023826599,-1
4,normal,3,1,3,98.89629483222961,-1
4,normal,3,1,3,98.88409972190857,-1
4,normal,3,1,3,98.81028532981873,-1
4,normal,3,1,3,99.33128952980042,-1
4,normal,3,1,3,98.90782237052917,-1
4,normal,3,1,3,99.30094480514526,-1
4,normal,3,1,3,99.07519817352295,-1
